BR_code,date_time,ShootFW,ShootDW,RootFW,RootDW
BR7-03111,2015/8/28 00:00:00,410,46.92,27,3.45
BR7-03112,2015/8/28 00:00:00,381,61.6,25,4.92
BR7-03113,2015/8/28 00:00:00,240,37.84,25,3.03
BR7-03114,2015/8/28 00:00:00,467,51.39,29,3.89
BR7-03121,2015/8/28 00:00:00,311,42.69,55,6.43
BR7-03122,2015/8/28 00:00:00,320,53.7,39,5.96
BR7-03123,2015/8/28 00:00:00,285,36.52,94,13
BR7-03124,2015/8/28 00:00:00,353,50.18,45,5.84
BR7-03131,2015/8/28 00:00:00,403,46.13,25,4.47
BR7-03132,2015/8/28 00:00:00,75,13.16,94,9.13
BR7-03133,2015/8/28 00:00:00,355,56.56,25,3.8
BR7-03134,2015/8/28 00:00:00,370,37.08,31,4.35
BR7-02111,2015/8/28 00:00:00,287,41.93,31,6.67
BR7-02112,2015/8/28 00:00:00,224,43.93,34,6.39
BR7-02113,2015/8/28 00:00:00,252,38.94,34,7.59
BR7-02114,2015/8/28 00:00:00,244,41.86,28,6.33
BR7-02121,2015/8/28 00:00:00,274,49.22,33,7.99
BR7-02122,2015/8/28 00:00:00,262,50.3,37,7.72
BR7-02123,2015/8/28 00:00:00,255,40.23,35,7.96
BR7-02124,2015/8/28 00:00:00,213,46.02,34,7.33
BR7-02131,2015/8/28 00:00:00,275,37.8,46,7.21
BR7-02132,2015/8/28 00:00:00,284,50.04,56,10.8
BR7-02133,2015/8/28 00:00:00,206,32.65,47,8.07
BR7-02134,2015/8/28 00:00:00,269,36.65,46,8.8
BR7-01111,2015/8/28 00:00:00,208,46.17,50,10.92
BR7-01112,2015/8/28 00:00:00,252,54.33,47,10.74
BR7-01113,2015/8/28 00:00:00,216,48.55,42,9.89
BR7-01114,2015/8/28 00:00:00,236,53.58,44,10.04
BR7-01121,2015/8/28 00:00:00,238,47.62,42,10.06
BR7-01122,2015/8/28 00:00:00,269,57.2,50,12.42
BR7-01123,2015/8/28 00:00:00,222,49.53,50,12.35
BR7-01124,2015/8/28 00:00:00,241,38.67,51,11.11
BR7-01131,2015/8/28 00:00:00,236,42.83,51,11.57
BR7-01132,2015/8/28 00:00:00,239,47.23,42,8.64
BR7-01133,2015/8/28 00:00:00,208,48.08,57,14.4
BR7-01134,2015/8/28 00:00:00,207,44.82,40,9.52
BR7-04111,2015/8/28 00:00:00,239,35.87,33,5.66
BR7-04112,2015/8/28 00:00:00,234,34.35,29,5.24
BR7-04113,2015/8/28 00:00:00,200,28.05,40,6.5
BR7-04114,2015/8/28 00:00:00,215,30.97,30,4.95
BR7-04121,2015/8/28 00:00:00,187,26.43,31,4.62
BR7-04122,2015/8/28 00:00:00,222,36.44,44,8
BR7-04123,2015/8/28 00:00:00,200,34.36,37,7.17
BR7-04124,2015/8/28 00:00:00,221,29.57,32,5.42
BR7-04131,2015/8/28 00:00:00,211,30.69,40,6.9
BR7-04132,2015/8/28 00:00:00,233,35.52,40,7.93
BR7-04133,2015/8/28 00:00:00,219,34.35,37,6.94
BR7-04134,2015/8/28 00:00:00,210,28.62,30,4.86
BR7-05111,2015/8/28 00:00:00,180,40.1,46,7.24
BR7-05112,2015/8/28 00:00:00,169,40.48,33,7.6
BR7-05113,2015/8/28 00:00:00,165,41.17,38,7.68
BR7-05114,2015/8/28 00:00:00,195,31.63,26,5.04
BR7-05121,2015/8/28 00:00:00,196,43.57,42,7.81
BR7-05122,2015/8/28 00:00:00,186,39.16,38,8.03
BR7-05123,2015/8/28 00:00:00,193,30.67,33,6.62
BR7-05124,2015/8/28 00:00:00,179,36.5,33,6.69
BR7-05131,2015/8/28 00:00:00,211,44.2,37,8.18
BR7-05132,2015/8/28 00:00:00,193,44.12,41,8.04
BR7-05133,2015/8/28 00:00:00,169,34.37,35,7.78
BR7-05134,2015/8/28 00:00:00,200,42.04,36,6.88
