"","plant","BR_code","date_time","ShootFW","ShootDW","RootFW","RootDW","spore","rep","plant_name","ASSYST","dpi","RSDW","RSFW","biomass_allocDW","biomass_allocFW"
"1","1","BR7-01111","2015/8/28 00:00:00",208,46.17,50,10.92,"1","1","OSR Cracker","Sheff-001","53",0.236517218973359,0.240384615384615,0.191276931161324,0.193798449612403
"2","1","BR7-01112","2015/8/28 00:00:00",252,54.33,47,10.74,"1","2","OSR Cracker","Sheff-001","53",0.197680839315295,0.186507936507937,0.165053019824804,0.157190635451505
"3","1","BR7-01113","2015/8/28 00:00:00",216,48.55,42,9.89,"1","3","OSR Cracker","Sheff-001","53",0.203707518022657,0.194444444444444,0.169233401779603,0.162790697674419
"4","1","BR7-01114","2015/8/28 00:00:00",236,53.58,44,10.04,"1","4","OSR Cracker","Sheff-001","53",0.187383351997014,0.186440677966102,0.157812008802263,0.157142857142857
"5","1","BR7-01121","2015/8/28 00:00:00",238,47.62,42,10.06,"2","1","OSR Cracker","Sheff-001","53",0.211255774884502,0.176470588235294,0.174410540915395,0.15
"6","1","BR7-01122","2015/8/28 00:00:00",269,57.2,50,12.42,"2","2","OSR Cracker","Sheff-001","53",0.217132867132867,0.185873605947955,0.178397012352772,0.156739811912226
"7","1","BR7-01123","2015/8/28 00:00:00",222,49.53,50,12.35,"2","3","OSR Cracker","Sheff-001","53",0.249343832020997,0.225225225225225,0.199579831932773,0.183823529411765
"8","1","BR7-01124","2015/8/28 00:00:00",241,38.67,51,11.11,"2","4","OSR Cracker","Sheff-001","53",0.287302818722524,0.211618257261411,0.223182000803536,0.174657534246575
"9","1","BR7-01131","2015/8/28 00:00:00",236,42.83,51,11.57,"3","1","OSR Cracker","Sheff-001","53",0.27013775391081,0.216101694915254,0.212683823529412,0.177700348432056
"10","1","BR7-01132","2015/8/28 00:00:00",239,47.23,42,8.64,"3","2","OSR Cracker","Sheff-001","53",0.182934575481685,0.175732217573222,0.154644710936102,0.149466192170818
"11","1","BR7-01133","2015/8/28 00:00:00",208,48.08,57,14.4,"3","3","OSR Cracker","Sheff-001","53",0.299500831946755,0.274038461538462,0.230473751600512,0.215094339622642
"12","1","BR7-01134","2015/8/28 00:00:00",207,44.82,40,9.52,"3","4","OSR Cracker","Sheff-001","53",0.212405176260598,0.193236714975845,0.175193227824807,0.161943319838057
"13","2","BR7-02111","2015/8/28 00:00:00",287,41.93,31,6.67,"1","1","OSR Temple","Sheff-002","53",0.159074648223229,0.10801393728223,0.137242798353909,0.0974842767295598
"14","2","BR7-02112","2015/8/28 00:00:00",224,43.93,34,6.39,"1","2","OSR Temple","Sheff-002","53",0.14545868427043,0.151785714285714,0.126987281399046,0.131782945736434
"15","2","BR7-02113","2015/8/28 00:00:00",252,38.94,34,7.59,"1","3","OSR Temple","Sheff-002","53",0.194915254237288,0.134920634920635,0.163120567375887,0.118881118881119
"16","2","BR7-02114","2015/8/28 00:00:00",244,41.86,28,6.33,"1","4","OSR Temple","Sheff-002","53",0.151218346870521,0.114754098360656,0.131355052915543,0.102941176470588
"17","2","BR7-02121","2015/8/28 00:00:00",274,49.22,33,7.99,"2","1","OSR Temple","Sheff-002","53",0.162332385209265,0.12043795620438,0.139660898444328,0.107491856677524
"18","2","BR7-02122","2015/8/28 00:00:00",262,50.3,37,7.72,"2","2","OSR Temple","Sheff-002","53",0.153479125248509,0.141221374045802,0.133057566356429,0.123745819397993
"19","2","BR7-02123","2015/8/28 00:00:00",255,40.23,35,7.96,"2","3","OSR Temple","Sheff-002","53",0.197862291822023,0.137254901960784,0.165179497821125,0.120689655172414
"20","2","BR7-02124","2015/8/28 00:00:00",213,46.02,34,7.33,"2","4","OSR Temple","Sheff-002","53",0.159278574532812,0.15962441314554,0.137394564198688,0.137651821862348
